onboard,engage,run,t,S,nC,dead
False,False,0,0,14.009443786163914,0,False
False,False,0,1,17.44515745384836,67,False
False,False,0,2,10.063470566259866,77,False
False,False,0,3,15.97131604544327,57,False
False,False,0,4,18.07329244177478,59,False
False,False,0,5,28.121732918021,68,False
False,False,0,6,16.046168374124402,68,False
False,False,0,7,13.374106207607941,41,False
False,False,0,8,12.428391205996345,50,False
False,False,0,9,27.956275192129265,83,False
False,False,0,10,15.999327083815292,45,False
False,False,0,11,15.085825522332325,50,False
False,False,0,12,13.758759713745206,65,False
False,False,0,13,24.932276853850066,49,False
False,False,0,14,26.898159319939985,56,False
False,False,0,15,28.56726652361995,44,False
False,False,0,16,22.45153546912731,74,False
False,False,0,17,24.461365907161163,65,False
False,False,0,18,14.020970263599228,55,False
False,False,0,19,12.974283627890864,56,False
False,False,0,20,13.95049032461295,55,False
False,False,0,21,10.948849249547743,50,False
False,False,0,22,18.464857282141374,54,False
False,False,0,23,26.834780582192057,57,False
False,False,0,24,14.766532163325152,51,False
False,False,0,25,14.2335135904613,36,False
False,False,0,26,9.494464176768071,46,False
False,False,0,27,12.788152563250488,45,False
False,False,0,28,15.347689554317972,40,False
False,False,0,29,17.85426111838501,47,False
False,False,0,30,13.44957335940683,48,False
False,False,0,31,17.226715873813966,61,False
False,False,0,32,15.691347677452756,44,False
False,False,0,33,14.671528108295462,33,False
False,False,0,34,14.806244605777495,36,False
False,False,0,35,11.535475836078133,42,False
False,False,0,36,16.50504764591369,71,False
False,False,0,37,17.667994360365626,61,False
False,False,0,38,26.188353731235495,70,False
False,False,0,39,15.84025923781312,54,False
False,False,0,40,11.744748965473342,60,False
False,False,0,41,16.562461268202686,56,False
False,False,0,42,16.640567915561206,50,False
False,False,0,43,10.73319444234837,30,False
False,False,0,44,13.569971736410439,54,False
False,False,0,45,11.676628778809464,45,False
False,False,0,46,16.74114049894477,52,False
False,False,0,47,14.259280074096749,64,False
False,False,0,48,13.546234193360204,31,False
False,False,0,49,14.056392804270937,47,False
False,False,0,50,23.03211481092915,57,False
False,False,0,51,15.150574600616864,39,False
False,False,0,52,17.54361431844488,45,False
False,False,0,53,8.302700955596954,49,False
False,False,0,54,13.803612201877108,46,False
False,False,0,55,9.228607672253538,62,False
False,False,0,56,17.726660222089453,46,False
False,False,0,57,14.73987940363673,47,False
False,False,0,58,17.72790380434058,52,False
False,False,0,59,20.16635783065652,45,False
False,False,0,60,24.10805621831216,57,False
False,False,0,61,13.573955814346306,56,False
False,False,0,62,15.139681364889634,49,False
False,False,0,63,15.97071605251939,60,False
False,False,0,64,11.902380242350432,51,False
False,False,0,65,15.956581482875666,49,False
False,False,0,66,13.07928442229902,39,False
False,False,0,67,12.816854835673928,57,False
False,False,0,68,13.757032368832744,49,False
False,False,0,69,11.076645840487355,49,False
False,False,0,70,12.842906129932933,38,False
False,False,0,71,13.198865929201299,52,False
False,False,0,72,13.26110737768574,53,False
False,False,0,73,14.671221015730458,57,False
False,False,0,74,12.143963167410595,63,False
False,False,0,75,10.375316752136753,50,False
False,False,0,76,8.041591238430568,38,False
False,False,0,77,18.096813692518808,61,False
False,False,0,78,13.620786868189299,44,False
False,False,0,79,15.233548371534946,42,False
False,False,0,80,11.975665174420207,40,False
False,False,0,81,13.275217153071457,51,False
False,False,0,82,13.078799658526314,57,False
False,False,0,83,17.393063361984733,52,False
False,False,0,84,13.120357929942298,33,False
False,False,0,85,14.423799240670368,53,False
False,False,0,86,24.042817924602257,70,False
False,False,0,87,13.337055441102791,44,False
False,False,0,88,13.329112819802729,53,False
False,False,0,89,14.259022528456178,53,False
False,False,0,90,15.068109031653442,37,False
False,False,0,91,16.52557938149672,34,False
False,False,0,92,11.965937319807024,51,False
False,False,0,93,14.582674389914702,58,False
False,False,0,94,15.147979771758004,54,False
False,False,0,95,15.720370622024912,27,False
False,False,0,96,13.639047973083011,48,False
False,False,0,97,15.708035737550311,35,False
False,False,0,98,13.998938601875132,53,False
False,False,0,99,12.923741946233323,51,False
False,False,0,100,13.683687923653226,70,False
False,False,0,101,14.930457877523954,50,False
False,False,0,102,13.123511114091473,40,False
False,False,0,103,15.090223976735533,34,False
False,False,0,104,16.927017577037336,42,False
False,False,0,105,11.800103440186135,42,False
False,False,0,106,10.17767482849574,54,False
False,False,0,107,16.31618186648708,58,False
False,False,0,108,8.899575710580446,47,False
False,False,0,109,17.676510960584988,52,False
False,False,0,110,7.611855626763454,47,False
False,False,0,111,17.56746015390672,44,False
False,False,0,112,12.207458832929785,33,False
False,False,0,113,12.463510670290919,41,False
False,False,0,114,15.035266608013865,32,False
False,False,0,115,12.412794867298919,33,False
False,False,0,116,14.619685276404113,36,False
False,False,0,117,11.089474900238113,28,False
False,False,0,118,11.776722465916919,39,False
False,False,0,119,16.382697608388217,37,False
False,False,0,120,10.871143840017272,50,False
False,False,0,121,10.090343776489156,41,False
False,False,0,122,9.429784313854846,31,False
False,False,0,123,11.038941037931561,47,False
False,False,0,124,9.847132361188093,33,False
False,False,0,125,13.561108813732574,35,False
False,False,0,126,18.88052360840701,37,False
False,False,0,127,18.326550566993706,36,False
False,False,0,128,14.51999737974401,35,False
False,False,0,129,10.901797740152794,40,False
False,False,0,130,15.315873620732058,40,False
False,False,0,131,15.1724952574099,36,False
False,False,0,132,14.965632884893468,35,False
False,False,0,133,13.204633605847565,37,False
False,False,0,134,14.015014957638883,63,False
False,False,0,135,15.85891789190672,42,False
False,False,0,136,7.222552455447598,36,False
False,False,0,137,10.028162904079004,35,False
False,False,0,138,12.653395845687909,28,False
False,False,0,139,12.370058929550943,43,False
False,False,0,140,19.003700929575146,33,False
False,False,0,141,12.354708662437941,39,False
False,False,0,142,16.048120678682526,48,False
False,False,0,143,8.947357313585963,38,False
False,False,0,144,12.076266760034644,39,False
False,False,0,145,9.383272180120256,29,False
False,False,0,146,16.524700248235153,50,False
False,False,0,147,9.271783092732827,46,False
False,False,0,148,14.22760682770041,26,False
False,False,0,149,13.585164874426736,43,False
False,False,0,150,10.175009838242431,30,False
False,False,0,151,13.37600149070669,36,False
False,False,0,152,13.198174378942744,34,False
False,False,0,153,10.26693052484072,38,False
False,False,0,154,13.595434403340988,35,False
False,False,0,155,13.833368990197213,61,False
False,False,0,156,9.81603299018302,31,False
False,False,0,157,14.011804839248958,38,False
False,False,0,158,8.171646017881832,49,False
False,False,0,159,12.797333739635553,33,False
False,False,0,160,7.085719028047549,43,False
False,False,0,161,11.987086861296277,31,False
False,False,0,162,12.15979985031291,40,False
False,False,0,163,16.365830780278714,34,False
False,False,0,164,10.415682619862405,13,False
False,False,0,165,8.79466303671053,27,False
False,False,0,166,10.120214088230735,26,False
False,False,0,167,13.238153584860038,36,False
False,False,0,168,10.62743401078983,30,False
False,False,0,169,10.072139941294681,31,False
False,False,0,170,12.126940406718402,24,False
False,False,0,171,11.680522676977743,28,False
False,False,0,172,15.310597249150776,33,False
False,False,0,173,11.291440898106442,30,False
False,False,0,174,13.18521685246662,23,False
False,False,0,175,11.75012078392223,38,False
False,False,0,176,14.516342208456912,32,False
False,False,0,177,7.57700351744097,30,False
False,False,0,178,13.32970679481176,43,False
False,False,0,179,12.341349386805996,34,False
False,False,0,180,15.544317644999312,26,False
False,False,0,181,15.44586156340236,31,False
False,False,0,182,14.570823971343216,31,False
False,False,0,183,11.855646238352296,37,False
False,False,0,184,11.864441271830612,39,False
False,False,0,185,12.947193915251251,20,False
False,False,0,186,11.417703119556926,30,False
False,False,0,187,9.598126522196551,26,False
False,False,0,188,12.09977442476934,34,False
False,False,0,189,11.098492923323821,24,False
False,False,0,190,12.15520513030043,18,False
False,False,0,191,10.018854136962059,36,False
False,False,0,192,13.86397324776247,25,False
False,False,0,193,7.934712409517772,28,False
False,False,0,194,8.73688360331406,29,False
False,False,0,195,13.27405595923596,24,False
False,False,0,196,9.911327482010591,31,False
False,False,0,197,14.676665374616594,32,False
False,False,0,198,13.991361120844228,34,False
False,False,0,199,12.223814938185134,32,False
False,False,0,200,8.944585337114306,20,False
False,False,0,201,12.704735937307404,28,False
False,False,0,202,10.427259941243886,29,False
False,False,0,203,10.113395308414782,16,False
False,False,0,204,8.84699921220817,36,False
False,False,0,205,12.586388468746113,16,False
False,False,0,206,9.774244512458802,42,False
False,False,0,207,11.163894539061797,26,False
False,False,0,208,7.983368795803522,22,False
False,False,0,209,9.417917914881638,38,False
False,False,0,210,10.657261399291402,27,False
False,False,0,211,9.249015667404567,23,False
False,False,0,212,6.679306005717146,34,False
False,False,0,213,9.402403240049809,25,False
False,False,0,214,14.929173846727783,36,False
False,False,0,215,12.672621620736502,40,False
False,False,0,216,10.668930739845033,21,False
False,False,0,217,7.265689596850875,28,False
False,False,0,218,12.662123213417404,13,False
False,False,0,219,5.828029764706557,40,False
False,False,0,220,10.504880658694844,26,False
False,False,0,221,13.087610305440224,25,False
False,False,0,222,13.419791714091257,33,False
False,False,0,223,15.27890744756896,27,False
False,False,0,224,8.917875258812014,29,False
False,False,0,225,6.93603472258834,20,False
False,False,0,226,14.525353161397394,46,False
False,False,0,227,9.619762654443573,22,False
False,False,0,228,8.25253269876216,16,False
False,False,0,229,16.67449033330693,23,False
False,False,0,230,11.135093520541995,26,False
False,False,0,231,11.82523265174996,21,False
False,False,0,232,13.647628665070282,35,False
False,False,0,233,14.502902333585142,24,False
False,False,0,234,10.29864799166415,15,False
False,False,0,235,11.063008962722163,20,False
False,False,0,236,12.081692934222211,24,False
False,False,0,237,10.437878952841894,30,False
False,False,0,238,10.8139319907667,18,False
False,False,0,239,10.648852914776256,12,False
False,False,0,240,10.518406258613165,23,False
False,False,0,241,12.090332328460777,23,False
False,False,0,242,9.453607307568229,21,False
False,False,0,243,11.393791712573385,26,False
False,False,0,244,9.564874039756475,26,False
False,False,0,245,10.411640885953421,10,False
False,False,0,246,13.641397652473513,27,False
False,False,0,247,5.771331574169187,21,False
False,False,0,248,10.911167712653873,20,False
False,False,0,249,8.700687494822791,10,False
False,False,0,250,9.60353368995188,21,False
False,False,0,251,10.235929274780686,18,False
False,False,0,252,9.752605615752795,14,False
False,False,0,253,11.032205977389872,17,False
False,False,0,254,12.669537269404987,25,False
False,False,0,255,14.979408592684765,15,False
False,False,0,256,10.587299992472325,31,False
False,False,0,257,6.797835873437692,14,False
False,False,0,258,10.232475627983291,15,False
False,False,0,259,12.879227369999338,12,False
False,False,0,260,8.560618089941316,17,False
False,False,0,261,11.331324465469674,12,False
False,False,0,262,8.113232188751493,23,False
False,False,0,263,8.769219444305977,14,False
False,False,0,264,8.673187869979213,20,False
False,False,0,265,9.042952498908422,13,False
False,False,0,266,7.711901363092263,24,False
False,False,0,267,9.730057356980279,10,False
False,False,0,268,8.32503586273402,14,False
False,False,0,269,12.572992725660628,30,False
False,False,0,270,4.805065636546207,8,False
False,False,0,271,9.998318164076164,10,False
False,False,0,272,10.881717231348754,18,False
False,False,0,273,10.443780411772687,25,False
False,False,0,274,9.089391480403343,31,False
False,False,0,275,9.657784866371182,18,False
False,False,0,276,12.768913495245087,21,False
False,False,0,277,6.004596908613401,21,False
False,False,0,278,8.029826180841543,18,False
False,False,0,279,8.787238487004329,9,False
False,False,0,280,9.619467241340734,6,False
False,False,0,281,9.752849865051989,23,False
False,False,0,282,6.7439682131264975,22,False
False,False,0,283,7.901299400729799,22,False
False,False,0,284,8.990450200577989,15,False
False,False,0,285,11.886143938116177,25,False
False,False,0,286,6.323770785434878,20,False
False,False,0,287,10.365257366351416,14,False
False,False,0,288,9.94424031647856,17,False
False,False,0,289,13.35006110203067,15,False
False,False,0,290,9.865380529143298,17,False
False,False,0,291,10.380452447710052,20,False
False,False,0,292,7.732326195208029,15,False
False,False,0,293,7.511973211594933,16,False
False,False,0,294,13.788409703278289,15,False
False,False,0,295,7.743979087376809,19,False
False,False,0,296,7.055460530154567,21,False
False,False,0,297,5.471283427525654,17,False
False,False,0,298,11.74237559458812,21,False
False,False,0,299,8.240963171571273,16,False
False,False,0,300,6.889820762937441,15,False
False,False,0,301,8.670273099737567,5,False
False,False,0,302,10.149798835023276,16,False
False,False,0,303,8.1224239995403,18,False
False,False,0,304,5.749444589732547,18,False
False,False,0,305,6.794440534391267,8,False
False,False,0,306,7.955854309214348,14,False
False,False,0,307,11.510489773736241,12,False
False,False,0,308,4.859599237756729,10,False
False,False,0,309,5.769479542576033,14,False
False,False,0,310,8.52479894279557,13,False
False,False,0,311,6.344196104186143,14,False
False,False,0,312,4.589516818466307,13,False
False,False,0,313,6.90411008112808,7,False
False,False,0,314,9.306999337243806,14,False
False,False,0,315,8.062180671970228,10,False
False,False,0,316,6.273082804504333,7,False
False,False,0,317,8.526418573426643,18,False
False,False,0,318,11.097178398768907,10,False
False,False,0,319,8.136272219267372,4,False
False,False,0,320,5.757725819518374,13,False
False,False,0,321,11.28919839426945,16,False
False,False,0,322,6.593523467089893,12,False
False,False,0,323,8.149816584769386,7,False
False,False,0,324,6.719543167795242,19,False
False,False,0,325,3.4066815626271487,7,False
False,False,0,326,6.755811484429837,10,False
False,False,0,327,9.135387764140894,8,False
False,False,0,328,9.459022029183739,10,False
False,False,0,329,7.688554784788481,5,False
False,False,0,330,3.8225575701937937,8,False
False,False,0,331,8.40738000853527,11,False
False,False,0,332,10.811171762411028,11,False
False,False,0,333,7.043783281935134,4,False
False,False,0,334,6.5804274413339465,13,False
False,False,0,335,1.382069786172003,9,False
False,False,0,336,7.498205602239264,10,False
False,False,0,337,3.0772860719889,10,False
False,False,0,338,4.537702762364685,9,False
False,False,0,339,5.630576898456667,7,False
False,False,0,340,8.21538044285537,12,False
False,False,0,341,7.481918522102909,4,False
False,False,0,342,7.357743197307615,15,False
False,False,0,343,2.0262271880828013,8,False
False,False,0,344,4.960103741351918,8,False
False,False,0,345,5.044965643124021,8,False
False,False,0,346,5.47265014728378,13,False
False,False,0,347,6.007181939004996,3,False
False,False,0,348,5.464378538277159,5,False
False,False,0,349,4.790824054203137,3,False
False,False,0,350,7.51098175464999,11,False
False,False,0,351,4.4268424571103395,8,False
False,False,0,352,2.091430510775435,5,False
