onboard,engage,run,t,S
False,False,0,0,5.597700310568093
False,False,0,1,8.898252852889748
False,False,0,2,5.727671541954596
False,False,0,3,6.266455730799684
False,False,0,4,8.756840064665983
False,False,0,5,2.733674228370013
False,False,0,6,8.58968922435718
False,False,0,7,6.0230222626659655
False,False,0,8,5.187534463086512
False,False,0,9,6.143619483283688
False,False,0,10,5.355385712208445
False,False,0,11,2.8066710473779932
False,False,0,12,9.560736021350923
False,False,0,13,4.641325976540859
False,False,0,14,3.036978070646486
False,False,0,15,6.820368418845495
False,False,0,16,3.704865517346595
False,False,0,17,3.6636960645187964
False,False,0,18,4.075291174395685
False,False,0,19,4.435594989689703
False,False,0,20,3.4170089986997487
False,False,0,21,3.0411216863214934
False,False,0,22,3.8916089620043963
False,False,0,23,4.779089834026882
False,False,0,24,4.8350919205169385
False,False,0,25,2.6886555367657152
False,False,0,26,3.41200567040369
False,False,0,27,3.2224797855666223
False,False,0,28,2.2499260753491543
False,False,0,29,3.601354172709244
False,False,0,30,5.7990226824968065
False,False,0,31,4.416389676841099
False,False,0,32,0
False,False,0,33,3.4559046663496185
False,False,0,34,10.456851849759003
False,False,0,35,4.101684757841626
False,False,0,36,3.3246510231777178
False,False,0,37,5.543203049696205
False,False,0,38,4.722710488894203
False,False,0,39,3.7423388690629693
False,False,0,40,7.062359022926317
False,False,0,41,2.6366606511907498
False,False,0,42,0.7493421469649953
False,False,0,43,3.833063162207461
False,False,0,44,0
False,False,0,45,7.902472106631545
False,False,0,46,2.3485178157708253
False,False,0,47,3.978999958497742
False,False,0,48,4.0684501106634645
False,False,0,49,3.8950485158205526
False,False,0,50,2.9672503197230453
False,False,0,51,6.204820577084009
False,False,0,52,3.184140057720294
False,False,0,53,7.479622628937484
False,False,0,54,3.5506922936612786
False,False,0,55,3.890458853557338
False,False,0,56,5.68453392640529
False,False,0,57,5.763423977615247
False,False,0,58,0.741922917787124
False,False,0,59,2.260987459721312
False,False,0,60,1.6662287266961506
False,False,0,61,5.574442159107869
False,False,0,62,0
False,False,0,63,1.65737988673028
False,False,0,64,3.288743878799389
False,False,0,65,3.3725165484078747
