onboard,engage,run,t,S,nC,dead
False,False,0,0,11.055714860277002,0,False
False,False,0,1,15.28319248566996,98,False
False,False,0,2,27.401212968127002,111,False
False,False,0,3,14.528952661187349,100,False
False,False,0,4,12.746914057001174,99,False
False,False,0,5,18.39038565847028,103,False
False,False,0,6,13.824745112572668,113,False
False,False,0,7,24.48542791254235,98,False
False,False,0,8,13.506560267698873,91,False
False,False,0,9,15.621243892357663,99,False
False,False,0,10,11.114194347023346,102,False
False,False,0,11,15.756265646843925,91,False
False,False,0,12,20.528983090391847,91,False
False,False,0,13,17.666741781453684,112,False
False,False,0,14,10.734743565821532,95,False
False,False,0,15,12.621701255198618,89,False
False,False,0,16,16.00940079398656,79,False
False,False,0,17,15.104423398382048,95,False
False,False,0,18,14.784398320286687,111,False
False,False,0,19,13.51555239774196,115,False
False,False,0,20,17.801932528368656,92,False
False,False,0,21,26.50804445689806,81,False
False,False,0,22,22.895217013034216,120,False
False,False,0,23,14.865992650043975,90,False
False,False,0,24,13.653865540887216,107,False
False,False,0,25,11.269151026538992,108,False
False,False,0,26,16.58977667343395,93,False
False,False,0,27,15.840852871880296,108,False
False,False,0,28,11.872126308044994,98,False
False,False,0,29,14.23916855414269,101,False
False,False,0,30,13.984574663736387,115,False
False,False,0,31,13.320339673376331,113,False
False,False,0,32,14.936649012461805,93,False
False,False,0,33,15.52170882977004,110,False
False,False,0,34,11.351082232416141,73,False
False,False,0,35,11.52077577463757,89,False
False,False,0,36,11.79531048620607,85,False
False,False,0,37,17.934660234164536,93,False
False,False,0,38,20.745350326441287,81,False
False,False,0,39,14.387324665910228,91,False
False,False,0,40,12.625334922454337,73,False
False,False,0,41,10.956191787139325,91,False
False,False,0,42,14.617015161186615,89,False
False,False,0,43,12.962960743428074,95,False
False,False,0,44,12.763891110135129,97,False
False,False,0,45,14.768243739696858,105,False
False,False,0,46,12.4278867153236,79,False
False,False,0,47,14.587896002654148,101,False
False,False,0,48,13.784110913251599,91,False
False,False,0,49,15.809009635606328,84,False
False,False,0,50,10.556777321780634,115,False
False,False,0,51,11.545187282311215,109,False
False,False,0,52,10.687144037364696,81,False
False,False,0,53,14.936158450078143,83,False
False,False,0,54,15.300532963089621,82,False
False,False,0,55,11.939005357865998,85,False
False,False,0,56,17.055371217790857,90,False
False,False,0,57,18.290704746211794,59,False
False,False,0,58,12.611236775669418,85,False
False,False,0,59,16.379190384203234,95,False
False,False,0,60,14.376209357384,75,False
False,False,0,61,13.501637215806765,98,False
False,False,0,62,15.325199787045609,77,False
False,False,0,63,18.475819542632113,94,False
False,False,0,64,13.50881257034991,89,False
False,False,0,65,18.671411568268013,95,False
False,False,0,66,15.313526172560126,79,False
False,False,0,67,17.012072520181302,90,False
False,False,0,68,10.505295597594177,109,False
False,False,0,69,13.145766424438756,95,False
False,False,0,70,8.959699585443229,111,False
False,False,0,71,20.91925062259682,117,False
False,False,0,72,13.935942250864834,81,False
False,False,0,73,15.02649006335527,95,False
False,False,0,74,14.547928981713913,76,False
False,False,0,75,11.100930843708355,96,False
False,False,0,76,12.514923147618553,109,False
False,False,0,77,12.387778479831317,99,False
False,False,0,78,13.694384448368517,85,False
False,False,0,79,15.71390862580001,61,False
False,False,0,80,19.514853336647526,96,False
False,False,0,81,15.75258405636092,95,False
False,False,0,82,13.057275842547615,72,False
False,False,0,83,17.279509931727745,81,False
False,False,0,84,11.677272524219536,67,False
False,False,0,85,16.514249592953767,92,False
False,False,0,86,15.49941942277194,78,False
False,False,0,87,15.609969695578759,96,False
False,False,0,88,14.310580848296729,94,False
False,False,0,89,16.32060813826926,85,False
False,False,0,90,12.43234696157894,106,False
False,False,0,91,14.836941829401376,115,False
False,False,0,92,10.189172806755353,96,False
False,False,0,93,12.45224957537084,96,False
False,False,0,94,15.29225080416344,86,False
False,False,0,95,13.907626507232871,86,False
False,False,0,96,15.139261753403925,72,False
False,False,0,97,15.928973465707559,83,False
False,False,0,98,12.05630962604608,88,False
False,False,0,99,13.768384497190937,91,False
False,False,0,100,18.335934197611586,58,False
False,False,0,101,12.4049250212264,74,False
False,False,0,102,16.478645716486565,103,False
False,False,0,103,16.412176167930344,89,False
False,False,0,104,10.203771753944698,91,False
False,False,0,105,15.953334170389116,101,False
False,False,0,106,14.952871499961228,61,False
False,False,0,107,13.365972636312094,107,False
False,False,0,108,14.528115938889403,74,False
False,False,0,109,12.585069399404967,76,False
False,False,0,110,15.97776634618551,99,False
False,False,0,111,14.409974014704703,82,False
False,False,0,112,11.502722355956037,65,False
False,False,0,113,9.204310854089409,65,False
False,False,0,114,14.665651480899209,81,False
False,False,0,115,10.444450187348426,87,False
False,False,0,116,15.290110604194478,87,False
False,False,0,117,12.045034783204407,68,False
False,False,0,118,12.453168417135956,80,False
False,False,0,119,14.040826551038762,79,False
False,False,0,120,11.705316648259151,88,False
False,False,0,121,16.321456535809308,84,False
False,False,0,122,15.661605671566765,76,False
False,False,0,123,16.899537308130803,84,False
False,False,0,124,15.91376930579487,100,False
False,False,0,125,13.845933679512596,91,False
False,False,0,126,15.341663804981224,74,False
False,False,0,127,9.600725142585512,95,False
False,False,0,128,10.853784304495798,75,False
False,False,0,129,13.715930806117077,83,False
False,False,0,130,17.326998739281663,72,False
False,False,0,131,11.55653121346766,107,False
False,False,0,132,11.670218586374068,103,False
False,False,0,133,12.599118330713008,79,False
False,False,0,134,14.243637715019787,88,False
False,False,0,135,14.106169061270553,85,False
False,False,0,136,16.308732436752226,63,False
False,False,0,137,17.171791606365836,66,False
False,False,0,138,10.907195487651332,76,False
False,False,0,139,11.828364002650535,71,False
False,False,0,140,10.147101135224313,88,False
False,False,0,141,12.165795273336057,95,False
False,False,0,142,18.32453075352833,94,False
False,False,0,143,15.664502731585928,78,False
False,False,0,144,14.18769969795413,68,False
False,False,0,145,12.57250939740928,85,False
False,False,0,146,9.222579578373807,82,False
False,False,0,147,12.702633756766947,82,False
False,False,0,148,12.399808166763046,88,False
False,False,0,149,14.52884147232841,68,False
