onboard,engage,run,t,S,nC,dead
False,False,0,0,23.26233022272982,0,False
False,False,0,1,19.870424277917095,23,False
False,False,0,2,29.256238204339557,19,False
False,False,0,3,18.40538988958234,24,False
False,False,0,4,26.253409178907006,33,False
False,False,0,5,15.903842933164436,26,False
False,False,0,6,20.093907152918813,31,False
False,False,0,7,11.52091519373198,14,False
False,False,0,8,20.123087153278192,27,False
False,False,0,9,19.396553023116958,21,False
False,False,0,10,14.480460718346036,27,False
False,False,0,11,21.945829404570624,24,False
False,False,0,12,7.448397578987687,18,False
False,False,0,13,28.357031014094932,27,False
False,False,0,14,14.107138388737317,20,False
False,False,0,15,11.803074455793103,12,False
False,False,0,16,40.549934789510694,35,False
False,False,0,17,6.612845735625074,17,False
False,False,0,18,15.604985254879493,33,False
False,False,0,19,18.766049020127927,22,False
False,False,0,20,21.301012520152756,22,False
False,False,0,21,12.007771215733552,25,False
False,False,0,22,7.94428674930408,16,False
False,False,0,23,9.822456758395372,10,False
False,False,0,24,16.739152751674492,17,False
False,False,0,25,9.689789306698366,11,False
False,False,0,26,7.341837728713608,13,False
False,False,0,27,10.06846548151431,22,False
False,False,0,28,13.279715097872232,23,False
False,False,0,29,5.953459002321626,16,False
False,False,0,30,10.41338308513759,13,False
False,False,0,31,6.592255283536359,15,False
False,False,0,32,8.346389856530807,17,False
False,False,0,33,5.928871509488035,12,False
False,False,0,34,15.206365341973916,22,False
False,False,0,35,7.897642857592172,20,False
False,False,0,36,5.11065244697685,6,False
False,False,0,37,6.954231908535804,9,False
False,False,0,38,9.943946663236014,10,False
False,False,0,39,11.750116608689765,13,False
False,False,0,40,9.951247560589241,10,False
False,False,0,41,13.556537347290186,11,False
False,False,0,42,7.629903882390589,7,False
False,False,0,43,3.2247496950218792,20,False
False,False,0,44,6.580192542844273,9,False
False,False,0,45,9.661337708376788,18,False
False,False,0,46,6.738461876298654,8,False
False,False,0,47,9.334476671199209,10,False
False,False,0,48,7.307826777708642,21,False
False,False,0,49,4.644986449905899,9,False
False,False,0,50,11.735189500820507,18,False
False,False,0,51,7.776530672528196,13,False
False,False,0,52,13.017721791179063,13,False
False,False,0,53,7.340794604156777,7,False
False,False,0,54,8.551062439643117,9,False
False,False,0,55,6.529968664481955,6,False
False,False,0,56,9.984932684210396,12,False
False,False,0,57,7.542840957491928,10,False
False,False,0,58,0.7493421469649953,7,False
False,False,0,59,5.7775158625233605,15,False
False,False,0,60,7.045709703397218,5,False
False,False,0,61,1.6787697928779222,8,False
False,False,0,62,4.934845930309329,1,False
False,False,0,63,7.513453694380731,13,False
False,False,0,64,4.206057379164303,13,False
False,False,0,65,6.265294768394984,14,False
False,False,0,66,5.112221975337292,9,False
False,False,0,67,6.857723904958782,6,False
False,False,0,68,0.8786625992724292,3,False
False,False,0,69,1.6820588058573673,2,False
False,False,0,70,7.49764171736707,3,False
False,False,0,71,5.946825944278562,9,False
False,False,0,72,6.184241143150684,2,False
False,False,0,73,4.689157115670033,3,False
False,False,0,74,8.586538693546373,6,False
False,False,0,75,3.6892436847566445,6,False
False,False,0,76,1.9219606889656324,2,False
False,False,0,77,1.8380050094001184,3,False
False,False,0,78,4.512209313685312,5,False
False,False,0,79,2.554457861470395,6,False
False,False,0,80,1.8470578789470484,7,False
False,False,0,81,0.9609803444828162,4,False
False,False,0,82,3.544956251855419,1,False
False,False,0,83,4.742756057770292,4,False
False,False,0,84,0,8,False
False,False,0,85,3.8637147375656573,3,False
False,False,0,86,2.875682014000894,2,False
False,False,0,87,3.740848626459248,6,False
False,False,0,88,1.8484295697479696,6,False
False,False,0,89,1.970395059307911,2,False
False,False,0,90,0,2,False
False,False,0,91,1.8940733704099566,0,False
False,False,0,92,1.9315704924104606,2,False
False,False,0,93,0.9327180547071353,9,False
False,False,0,94,0.9705901479276444,4,False
False,False,0,95,0.9705901479276444,3,False
False,False,0,96,0,0,False
False,False,0,97,0,2,False
False,False,0,98,0,1,False
False,False,0,99,0,2,False
False,True,0,0,169.43007774699802,1405,False
False,True,0,1,46.58675686076953,29,False
False,True,0,2,54.86296449590136,39,False
False,True,0,3,30.21004454688669,33,False
False,True,0,4,38.96315295800299,27,False
False,True,0,5,25.9248334519124,24,False
False,True,0,6,35.145352699958295,34,False
False,True,0,7,31.39636344176356,35,False
False,True,0,8,23.858533177943077,22,False
False,True,0,9,35.11114196709417,21,False
False,True,0,10,21.20906391703637,15,False
False,True,0,11,25.091450495506454,15,False
False,True,0,12,26.901327158244673,24,False
False,True,0,13,26.255097952551825,25,False
False,True,0,14,26.254173124088545,19,False
False,True,0,15,20.890938122540394,18,False
False,True,0,16,43.76179090719228,36,False
False,True,0,17,31.507484230519566,25,False
False,True,0,18,24.68051749589207,19,False
False,True,0,19,35.782106528190084,17,False
False,True,0,20,27.44444423889802,27,False
False,True,0,21,37.797790413611025,27,False
False,True,0,22,34.92612615059451,25,False
False,True,0,23,22.910420155847397,11,False
False,True,0,24,29.45908601878372,27,False
False,True,0,25,35.85408244335,21,False
False,True,0,26,30.755466158944056,23,False
False,True,0,27,38.19826880333751,34,False
False,True,0,28,31.580120826723398,25,False
False,True,0,29,26.908261723834134,18,False
False,True,0,30,32.14059467274203,28,False
False,True,0,31,25.23707220213079,18,False
False,True,0,32,23.617066719515798,18,False
False,True,0,33,38.104330156056115,17,False
False,True,0,34,20.861230817670094,16,False
False,True,0,35,27.609993543458224,14,False
False,True,0,36,19.46251835860825,16,False
False,True,0,37,23.13534623052861,15,False
False,True,0,38,22.289076348262515,17,False
False,True,0,39,24.562002268582212,17,False
False,True,0,40,24.71546559169764,16,False
False,True,0,41,21.378549015070533,14,False
False,True,0,42,30.50575489945676,33,False
False,True,0,43,18.99712846518551,15,False
False,True,0,44,33.85359741209167,30,False
False,True,0,45,33.339688715955766,23,False
False,True,0,46,17.35235187849573,9,False
False,True,0,47,20.086526816557313,18,False
False,True,0,48,24.29068010089016,20,False
False,True,0,49,20.949451991001034,20,False
False,True,0,50,28.696182448517465,15,False
False,True,0,51,16.28754204192695,11,False
False,True,0,52,22.18895297284223,19,False
False,True,0,53,24.029240584677833,17,False
False,True,0,54,14.501798563650075,10,False
False,True,0,55,17.77506465172783,17,False
False,True,0,56,20.973699230343783,18,False
False,True,0,57,12.685299695658333,11,False
False,True,0,58,31.90784319199915,21,False
False,True,0,59,17.532626855862198,12,False
False,True,0,60,13.244533624863946,8,False
False,True,0,61,21.86571724656296,13,False
False,True,0,62,13.129492448165141,9,False
False,True,0,63,6.0110050177359255,5,False
False,True,0,64,9.210697070961059,6,False
False,True,0,65,20.583189506103327,20,False
False,True,0,66,12.108568321353685,5,False
False,True,0,67,7.828998066613174,8,False
False,True,0,68,13.759851869998272,7,False
False,True,0,69,11.733741686966804,5,False
False,True,0,70,14.169768306089578,8,False
False,True,0,71,8.748626057817122,6,False
False,True,0,72,4.9489699003824255,3,False
False,True,0,73,6.209933702040984,4,False
False,True,0,74,8.964088469542755,8,False
False,True,0,75,9.152852141072003,7,False
False,True,0,76,4.488613131430541,1,False
False,True,0,77,13.659422768797373,9,False
False,True,0,78,6.516419243924921,4,False
False,True,0,79,2.6931760244549388,0,False
False,True,0,80,9.926529013516078,7,False
False,True,0,81,10.850090920262907,6,False
False,True,0,82,5.532076198072005,5,False
False,True,0,83,0.8699629695766625,0,False
False,True,0,84,11.064595836493032,7,False
False,True,0,85,10.174319662537833,8,False
False,True,0,86,0.914339824239913,1,False
False,True,0,87,10.515590404183143,9,False
False,True,0,88,2.7804141880262185,0,False
False,True,0,89,3.8447758411277255,4,False
False,True,0,90,4.846077073308805,1,False
False,True,0,91,0.9609803444828162,1,False
False,True,0,92,1.970395059307911,3,False
False,True,0,93,0.9802960494069208,0,False
False,True,0,94,4.843630191277083,6,False
False,True,0,95,0,0,False
False,True,0,96,2.9702970297029703,3,False
False,True,0,97,1.9801980198019802,2,False
False,True,0,98,0.9802960494069208,0,False
False,True,0,99,0,0,False
True,False,0,0,27.936892529908857,99,False
True,False,0,1,14.157335055685941,18,False
True,False,0,2,23.541199438608125,23,False
True,False,0,3,28.214118843348807,39,False
True,False,0,4,16.710891125159385,24,False
True,False,0,5,25.783097072002455,18,False
True,False,0,6,22.73405913899962,26,False
True,False,0,7,29.12044192788862,29,False
True,False,0,8,25.844489202423503,17,False
