run,t,S
0,0,10.929483060554093
0,1,39.99100775807774
0,2,39.124514439365726
0,3,67.26494780076959
0,4,80.72193755670666
0,5,45.40061860946027
0,6,38.563553410898024
0,7,44.99921786852806
0,8,43.18572536654317
0,9,46.16378963946128
0,10,25.556624252967964
0,11,47.37916180666213
0,12,46.79254003333809
0,13,12.946317581879468
0,14,41.28395218100652
0,15,78.41783309326277
0,16,47.695393557944776
0,17,47.78911439078566
0,18,45.676693639394394
0,19,10.035981376484326
0,20,38.5408103080663
0,21,27.124710635747622
0,22,69.52228579991969
0,23,54.074648770639484
0,24,12.472443805236239
0,25,48.490279601859484
0,26,49.81579792826766
0,27,46.2759317328655
0,28,36.866676868616764
0,29,50.14801677994993
0,30,46.18754696646336
0,31,45.59529546299566
0,32,42.80821514703776
0,33,19.145231776800813
0,34,43.43985233031659
0,35,51.0618426167917
0,36,46.50452487872261
0,37,41.227841347934664
0,38,51.28582885102143
0,39,48.95948314592321
0,40,18.25531762223949
0,41,66.45150959814472
0,42,39.92420476881482
0,43,9.64040213097365
0,44,43.462564976204916
0,45,43.57332807178328
0,46,48.482655509239905
0,47,45.48676619135641
0,48,47.774912376085915
0,49,9.438469739259027
0,50,51.58927464245965
0,51,45.206931960716595
0,52,48.319961959126886
0,53,43.659049038623394
0,54,63.39035593014216
0,55,44.96423569531873
0,56,47.547518717007435
0,57,39.97806199284643
0,58,41.51500820196246
0,59,46.5608193693006
0,60,42.65536762029213
0,61,55.50926560328903
0,62,29.868640788775778
0,63,45.0867719233131
0,64,43.08409331277102
0,65,40.80871696153708
0,66,44.31535111881912
0,67,41.3019014778459
0,68,44.4224133133976
0,69,43.75374904920918
0,70,40.443805212125326
0,71,45.98576822606062
0,72,39.48411157820557
0,73,38.97300497701554
0,74,44.91835941286802
0,75,41.29417755887414
0,76,39.76386597453123
0,77,41.76348913725121
0,78,49.32369441601757
0,79,50.08270830315916
0,80,77.86233060749178
0,81,45.1790493043115
0,82,47.489645831537445
0,83,44.397019755043694
0,84,47.41373621697506
0,85,54.45218535110058
0,86,76.15666647627988
0,87,40.46723514866744
0,88,52.859601673909864
0,89,49.20200921938414
0,90,44.96489683822704
0,91,45.97106608295981
0,92,44.39769429162337
0,93,50.611796589686506
0,94,52.299636178971554
0,95,42.16304230350108
0,96,40.335746283830474
0,97,15.814862262211332
0,98,42.70009451645788
0,99,35.818432437031156
0,100,48.09238402572792
0,101,72.11766927204292
0,102,44.841015763358754
0,103,53.2804825491568
0,104,70.8021363474377
0,105,43.57042761744415
0,106,57.28854815051615
0,107,45.398689045571594
0,108,37.460986551885576
0,109,31.895132930745888
0,110,54.65886247870437
0,111,48.986032889313336
0,112,41.73592616730815
0,113,40.65791904912469
0,114,55.9053148876689
0,115,34.671091007730745
0,116,38.29626121649353
0,117,81.90865923736818
0,118,47.88954730277832
0,119,38.87333161072745
0,120,51.99876295268258
0,121,41.58522584161101
0,122,48.644209357274896
0,123,44.61253914876396
0,124,48.659665007506746
0,125,51.52408690773841
0,126,48.611428041106926
0,127,47.41380369788116
0,128,48.15965083425107
0,129,43.93468794892105
0,130,43.98991542466123
0,131,44.57954555608565
0,132,52.493635131200875
0,133,46.27453513813291
0,134,43.95814669664999
0,135,42.16807604947846
0,136,12.663097748928802
0,137,44.79734499267588
0,138,82.61918059742413
0,139,43.69930048229421
0,140,42.735888479162796
0,141,43.496115524799016
0,142,38.308416228326614
0,143,44.05710664523805
0,144,17.278145834413195
0,145,43.00451266917966
0,146,44.98623505243908
0,147,35.28854758875025
0,148,40.155487852315275
0,149,44.44099666459953
0,150,48.52090631173919
0,151,37.31616968017062
0,152,40.249675434094826
0,153,38.82752710728264
0,154,44.56831829792164
0,155,48.00757080423961
0,156,42.94928329229231
0,157,42.21625768613665
0,158,43.68042890784312
0,159,46.23350311539294
0,160,48.080893485684065
0,161,26.53646833632653
0,162,39.87722787039627
0,163,35.56088963228847
0,164,45.49311758771614
0,165,44.008470923780926
0,166,44.88183831951378
0,167,9.718192922631259
0,168,39.793671659135555
0,169,47.774588203039855
0,170,76.78705758826341
0,171,51.62364332501681
0,172,53.33741327540954
0,173,40.59709204253757
0,174,20.845273604988055
0,175,53.1852581342831
0,176,12.089348254744088
0,177,11.195426692506935
0,178,49.659342679746004
0,179,46.779886037121486
0,180,37.35418300685404
0,181,12.642229549476903
0,182,43.29040864393448
0,183,46.76677764268882
0,184,50.895563389465046
0,185,47.70052883651434
0,186,49.09118334399142
