onboard,engage,run,t,S,nC,dead
False,False,0,0,12.06205439366161,0,False
False,False,0,1,39.35945188435449,51,False
False,False,0,2,40.81587981045212,47,False
False,False,0,3,31.282977000971155,65,False
False,False,0,4,44.91465139856102,52,False
False,False,0,5,27.912082614585472,42,False
False,False,0,6,15.731603443629947,39,False
False,False,0,7,40.50855776236733,55,False
False,False,0,8,37.96310797718847,56,False
False,False,0,9,20.284985248329342,50,False
False,False,0,10,45.334601758097016,45,False
False,False,0,11,22.597806525886778,32,False
False,False,0,12,34.582900637419336,42,False
False,False,0,13,15.837802051221024,40,False
False,False,0,14,26.563763229228172,42,False
False,False,0,15,37.43027810731084,46,False
False,False,0,16,31.334880650570337,51,False
False,False,0,17,23.262482638772024,36,False
False,False,0,18,24.323544061625263,38,False
False,False,0,19,33.68320557111851,43,False
False,False,0,20,11.37930510671483,36,False
False,False,0,21,13.82573571078925,30,False
False,False,0,22,30.691471573282485,49,False
False,False,0,23,24.70929870522849,51,False
False,False,0,24,26.825251567466744,44,False
False,False,0,25,34.99575287274809,44,False
False,False,0,26,14.102754005859692,37,False
False,False,0,27,34.24570198046809,48,False
False,False,0,28,38.39732217348305,46,False
False,False,0,29,22.388999259702036,46,False
False,False,0,30,16.707060032858937,34,False
False,False,0,31,34.61169919730685,36,False
False,False,0,32,21.335556476272,54,False
False,False,0,33,32.527133248120016,60,False
False,False,0,34,14.789070137801094,44,False
False,False,0,35,14.050328817134037,46,False
False,False,0,36,30.51441999583994,39,False
False,False,0,37,13.644296875193527,43,False
False,False,0,38,17.190339062877698,44,False
False,False,0,39,16.89075688197923,49,False
False,False,0,40,27.424149582870623,37,False
False,False,0,41,17.992011434720293,40,False
False,False,0,42,32.630005359570745,41,False
False,False,0,43,13.507877569951203,31,False
False,False,0,44,34.17516402098821,53,False
False,False,0,45,32.86720544668857,45,False
False,False,0,46,17.396069104810724,44,False
False,False,0,47,35.62880282022216,37,False
False,False,0,48,26.059131914840883,39,False
False,False,0,49,17.785156872106622,35,False
False,False,0,50,19.541483288896224,26,False
False,False,0,51,10.298900794181295,40,False
False,False,0,52,19.240705551667475,28,False
False,False,0,53,10.070848597720705,42,False
False,False,0,54,12.984396506166494,16,False
False,False,0,55,20.011822023237837,40,False
False,False,0,56,28.023176356688158,36,False
False,False,0,57,23.936358136037608,32,False
False,False,0,58,16.742798385082914,38,False
False,False,0,59,23.009310879287487,24,False
False,False,0,60,15.010724845752616,34,False
False,False,0,61,10.046207477716743,28,False
False,False,0,62,33.34519262115125,28,False
False,False,0,63,15.652601131420573,44,False
False,False,0,64,14.175994270869719,26,False
False,False,0,65,12.747181081650439,24,False
