onboard,engage,source,target,t,intimacy
False,False,3,4,9,0.9420452352542067
False,False,4,0,9,0.9609803444828162
False,False,4,1,9,0.9609803444828162
False,False,4,5,9,0.9609803444828162
False,False,6,2,9,0.9609803444828162
False,False,6,3,9,0.9609803444828162
False,False,7,8,9,0.9802960494069208
False,False,4,2,9,0.9900990099009901
False,False,4,6,9,0.9900990099009901
False,False,1,0,10,0.09234832224823121
False,False,0,1,10,0.09234832224823121
False,False,2,0,10,0.09234832224823121
False,False,0,2,10,0.09234832224823121
False,False,2,1,10,0.09234832224823121
False,False,1,2,10,0.09234832224823121
False,False,3,0,10,0.9327180547071353
False,False,3,4,10,0.9327180547071353
False,False,4,0,10,0.9514656876067488
False,False,4,1,10,0.9514656876067488
False,False,4,5,10,0.9514656876067488
False,False,6,2,10,0.9514656876067488
False,False,6,3,10,0.9514656876067488
False,False,7,8,10,0.9705901479276444
False,False,4,2,10,0.9802960494069208
False,False,4,6,10,0.9802960494069208
False,False,1,0,11,0.0914339824239913
False,False,0,1,11,0.0914339824239913
False,False,2,0,11,0.0914339824239913
False,False,0,2,11,0.0914339824239913
False,False,2,1,11,0.0914339824239913
False,False,1,2,11,0.0914339824239913
False,False,3,0,11,0.9234832224823122
False,False,3,4,11,1.9135822323833023
False,False,4,0,11,0.9420452352542067
False,False,4,1,11,0.9420452352542067
False,False,4,5,11,0.9420452352542067
False,False,6,2,11,0.9420452352542067
False,False,6,3,11,0.9420452352542067
False,False,7,8,11,0.9609803444828162
False,False,4,2,11,0.9705901479276444
False,False,4,6,11,0.9705901479276444
False,False,3,6,11,0.9900990099009901
False,False,1,0,12,0.09052869546929831
False,False,0,1,12,0.09052869546929831
False,False,2,0,12,0.09052869546929831
False,False,0,2,12,0.09052869546929831
False,False,2,1,12,0.09052869546929831
False,False,1,2,12,0.09052869546929831
False,False,3,0,12,0.914339824239913
False,False,3,4,12,1.8946358736468338
False,False,4,0,12,0.9327180547071353
False,False,4,1,12,0.9327180547071353
False,False,4,5,12,0.9327180547071353
False,False,6,2,12,0.9327180547071353
False,False,6,3,12,1.9228170646081253
False,False,7,8,12,0.9514656876067488
False,False,4,2,12,0.9609803444828162
False,False,4,6,12,0.9609803444828162
False,False,3,6,12,0.9802960494069208
False,False,6,9,12,0.9900990099009901
False,False,12,2,12,0.9900990099009901
False,False,1,0,13,0.08963237175178052
False,False,0,1,13,0.08963237175178052
False,False,2,0,13,0.08963237175178052
False,False,0,2,13,0.08963237175178052
False,False,2,1,13,0.08963237175178052
False,False,1,2,13,0.08963237175178052
False,False,3,0,13,0.9052869546929831
False,False,3,4,13,1.8758771026206276
False,False,4,0,13,0.9234832224823122
False,False,4,1,13,0.9234832224823122
False,False,4,5,13,0.9234832224823122
False,False,6,2,13,0.9234832224823122
False,False,6,3,13,1.903779271889233
False,False,7,8,13,0.9420452352542067
False,False,4,2,13,0.9514656876067488
False,False,4,6,13,0.9514656876067488
False,False,3,6,13,1.9606891578286345
False,False,6,9,13,0.9802960494069208
False,False,12,2,13,0.9802960494069208
False,False,1,0,14,0.08874492252651536
False,False,0,1,14,0.08874492252651536
False,False,2,0,14,0.08874492252651536
False,False,0,2,14,0.08874492252651536
False,False,2,1,14,0.08874492252651536
False,False,1,2,14,0.08874492252651536
False,False,3,0,14,0.896323717517805
False,False,3,4,14,1.8573040620006214
False,False,4,0,14,0.914339824239913
False,False,4,1,14,0.914339824239913
False,False,4,5,14,0.914339824239913
False,False,6,2,14,0.914339824239913
False,False,6,3,14,2.8750289820685477
False,False,7,8,14,0.9327180547071353
False,False,4,2,14,0.9420452352542067
False,False,4,6,14,0.9420452352542067
False,False,3,6,14,1.941276393889737
False,False,6,9,14,0.9705901479276444
False,False,12,2,14,0.9705901479276444
False,False,7,5,14,0.9900990099009901
False,False,7,6,14,0.9900990099009901
False,False,7,12,14,0.9900990099009901
False,False,1,0,15,0.08786625992724294
False,False,0,1,15,0.08786625992724294
False,False,2,0,15,0.08786625992724294
False,False,0,2,15,0.08786625992724294
False,False,2,1,15,0.08786625992724294
False,False,1,2,15,0.08786625992724294
False,False,3,0,15,0.8874492252651535
False,False,3,4,15,1.8389149128719022
False,False,4,0,15,0.9052869546929831
False,False,4,1,15,0.9052869546929831
False,False,4,5,15,0.9052869546929831
False,False,6,2,15,0.9052869546929831
False,False,6,3,15,2.8465633485827206
False,False,7,8,15,0.9234832224823122
False,False,4,2,15,0.9327180547071353
False,False,4,6,15,0.9327180547071353
False,False,3,6,15,1.922055835534393
False,False,6,9,15,0.9609803444828162
False,False,12,2,15,0.9609803444828162
False,False,7,5,15,0.9802960494069208
False,False,7,6,15,0.9802960494069208
False,False,7,12,15,0.9802960494069208
False,False,13,3,15,0.9900990099009901
False,False,13,12,15,0.9900990099009901
False,False,1,0,16,0.08699629695766628
False,False,0,1,16,0.08699629695766628
False,False,2,0,16,0.08699629695766628
False,False,0,2,16,0.08699629695766628
False,False,2,1,16,0.08699629695766628
False,False,1,2,16,0.08699629695766628
False,False,3,0,16,0.8786625992724292
False,False,3,4,16,1.8207078345266359
False,False,4,0,16,0.896323717517805
False,False,4,1,16,0.896323717517805
False,False,4,5,16,0.896323717517805
False,False,6,2,16,0.896323717517805
False,False,6,3,16,2.8183795530521984
False,False,7,8,16,0.914339824239913
False,False,4,2,16,0.9234832224823122
False,False,4,6,16,0.9234832224823122
False,False,3,6,16,2.893124589638013
False,False,6,9,16,0.9514656876067488
False,False,12,2,16,0.9514656876067488
False,False,7,5,16,0.9705901479276444
False,False,7,6,16,0.9705901479276444
False,False,7,12,16,0.9705901479276444
False,False,13,3,16,0.9802960494069208
False,False,13,12,16,0.9802960494069208
False,False,2,4,16,0.9900990099009901
False,False,12,3,16,0.9900990099009901
False,False,12,7,16,0.9900990099009901
False,False,14,6,16,0.9900990099009901
False,False,14,9,16,0.9900990099009901
False,False,1,0,17,0.0861349474828379
False,False,0,1,17,0.0861349474828379
False,False,2,0,17,0.0861349474828379
False,False,0,2,17,0.0861349474828379
False,False,2,1,17,0.0861349474828379
False,False,1,2,17,0.0861349474828379
False,False,3,0,17,0.8699629695766625
False,False,3,4,17,1.8026810242837978
False,False,4,0,17,0.8874492252651535
False,False,4,1,17,0.8874492252651535
False,False,4,5,17,0.8874492252651535
False,False,6,2,17,0.8874492252651535
False,False,6,3,17,2.7904748050021766
False,False,7,8,17,0.9052869546929831
False,False,4,2,17,0.914339824239913
False,False,4,6,17,0.914339824239913
False,False,3,6,17,2.8644797917208047
False,False,6,9,17,0.9420452352542067
False,False,12,2,17,0.9420452352542067
False,False,7,5,17,0.9609803444828162
False,False,7,6,17,0.9609803444828162
False,False,7,12,17,0.9609803444828162
False,False,13,3,17,0.9705901479276444
False,False,13,12,17,0.9705901479276444
False,False,2,4,17,0.9802960494069208
False,False,12,3,17,0.9802960494069208
False,False,12,7,17,0.9802960494069208
False,False,14,6,17,0.9802960494069208
False,False,14,9,17,0.9802960494069208
False,False,1,0,18,0.08528212622063158
False,False,0,1,18,0.08528212622063158
False,False,2,0,18,0.08528212622063158
False,False,0,2,18,0.08528212622063158
False,False,2,1,18,0.08528212622063158
False,False,1,2,18,0.08528212622063158
False,False,3,0,18,0.8613494748283788
False,False,3,4,18,1.784832697310691
False,False,4,0,18,0.8786625992724292
False,False,4,1,18,0.8786625992724292
False,False,4,5,18,0.8786625992724292
False,False,6,2,18,0.8786625992724292
False,False,6,3,18,2.7628463415863136
False,False,7,8,18,0.896323717517805
False,False,4,2,18,0.9052869546929831
